Time,Last
12/31/2003,20.86
1/7/2004,20.99
2/20/2004,19.41
4/6/2004,19.33
5/20/2004,19.26
7/7/2004,18.94
8/19/2004,19.48
10/6/2004,20.19
11/18/2004,20.75
1/5/2005,
2/18/2005,
4/6/2005,
5/19/2005,
7/7/2005,
8/18/2005,
10/6/2005,
11/18/2005,
1/6/2006,
2/21/2006,
4/6/2006,
5/18/2006,
7/7/2006,
8/18/2006,
10/5/2006,
11/20/2006,
1/8/2007,
2/21/2007,
4/5/2007,
5/18/2007,
7/6/2007,
8/20/2007,
10/4/2007,
11/20/2007,
1/7/2008,
2/21/2008,
4/4/2008,
5/20/2008,
7/7/2008,
8/20/2008,
10/6/2008,
11/20/2008,
1/7/2009,
2/20/2009,
4/6/2009,
5/20/2009,
7/7/2009,
8/20/2009,
10/6/2009,
11/19/2009,
1/7/2010,
2/19/2010,
4/7/2010,
5/20/2010,
7/7/2010,
8/19/2010,
10/6/2010,
11/18/2010,
1/3/2011,
2/15/2011,
4/1/2011,
5/16/2011,
7/1/2011,
8/15/2011,
Downloaded from Barchart.com as of 04-23-2020 06:53pm CDT,
