Date,Transaction,Debit/credit,Running Balance
7/7/2011,PURCHASE,2.835818,146.927257
5/19/2011,DIVIDEND,1.244262,144.091439
5/19/2011,PURCHASE,2.776131,142.847177
4/6/2011,PURCHASE,4.055356,140.071046
2/18/2011,DIVIDEND,1.245942,136.01569
2/18/2011,PURCHASE,3.228945,134.769748
1/6/2011,PURCHASE,4.174206,131.540803
11/18/2010,DIVIDEND,1.116797,127.366597
11/18/2010,PURCHASE,3.091337,126.2498
10/6/2010,PURCHASE,2.859261,123.158463
8/19/2010,DIVIDEND,1.01712,120.299202
8/19/2010,PURCHASE,2.981592,119.282082
7/7/2010,PURCHASE,4.335978,116.30049
5/20/2010,DIVIDEND,0.984866,111.964512
5/20/2010,PURCHASE,3.112724,110.979646
4/7/2010,PURCHASE,2.845911,107.866922
2/19/2010,DIVIDEND,0.744632,105.021011
2/19/2010,PURCHASE,2.750426,104.276379
1/7/2010,PURCHASE,3.685936,101.525953
11/19/2009,DIVIDEND,0.710598,97.840017
11/19/2009,PURCHASE,1.864597,97.129419
10/6/2009,PURCHASE,4.077505,95.264822
8/20/2009,DIVIDEND,0.788934,91.187317
8/20/2009,PURCHASE,2.237477,90.398383
7/7/2009,PURCHASE,2.141433,88.160906
5/20/2009,DIVIDEND,0.768319,86.019473
5/20/2009,PURCHASE,1.141972,85.251154
4/6/2009,PURCHASE,2.156362,84.109182
